uid,question,golden_answer,source_ids,golden_doc_chunks,golden_triples,is_generated_with,topic_entity_id,topic_entity_value,hops,based_on_template,use_case,retrieval_operation,semi-typed,updated template
90c11fd9-663f-4a90-ab34-29b7e67499f0,What are the evaluation methods used by the paper with the title 'Model-Based Analysis of Microservice Resiliency Patterns' compared to the evaluation methods applied in the paper with the title 'Supporting Architectural Decision Making on Data Management in Microservice Architectures'?,"The evaluation methods used by the paper with the title 'Model-Based Analysis of Microservice Resiliency Patterns' compared to the evaluation methods applied in the paper with the title 'Supporting Architectural Decision Making on Data Management in Microservice Architectures' are as follows: the paper 'Model-Based Analysis of Microservice Resiliency Patterns' uses Technical Experiment as its evaluation method, whereas the paper 'Supporting Architectural Decision Making on Data Management in Microservice Architectures' applies Grounded Theory as its evaluation method.","['10.1109/ICSA47634.2020.00019', '10.1007/978-3-030-29983-5_2']",,"['(R869891:Evaluation Method Entity, Name, L1523203:Technical Experiment)', '(R873005:Evaluation Method Entity, Name, L1529647:Grounded Theory)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation methods used by the paper with the title '[paper title 1]' compared to the methods applied in the paper with the title '[paper title 2]'?,2,comparative,True,What are the evaluation methods used by the paper with the title '[paper title]' compared to the evaluation methods applied in the paper with the title '[paper title]'?
fce381c2-0d49-4c12-95f3-45fcb19ef7be,How many research objects did the author António Silva investigate in his papers per publication year?,António Silva investigated the following number of research objects in his papers per publication year: 2019: one research object. 2020: two research objects.,"['10.1007/978-3-030-29983-5_3', '10.1007/978-3-030-29983-5_3', '10.1007/978-3-030-29983-5_3', '10.1109/ICSA47634.2020.00024', '10.1109/ICSA47634.2020.00024', '10.1109/ICSA47634.2020.00024', '10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3', '10.1007/978-3-030-58923-3_3']",,"['(R871187:authors list, has list element, L1525913:António Silva)', '(R871186:From a Monolith to a Microservices Architecture: An Approach Based on Transactional Contexts, publication year, L1525914:2019)', '(R871214:Research Object Entity, Name, L1525968:Architectural Aspects)', '(R874605:authors list, has list element, L1532957:António Silva)', '(R874604:A Complexity Metric for Microservices Architecture Migration, publication year, L1532958:2020)', '(R874632:Research Object Entity, Name, L1533010:Architecture Design Method)', '(R872485:authors list, has list element, L1528607:António Silva)', '(R872484:Monolith Migration Complexity Tuning Through the Application of Microservices Patterns, publication year, L1528608:2020)', '(R872516:Research Object Entity, Name, L1528666:Architecture Optimization Method)']",clustering_strategy,R659055,Software Architecture and Design,5,How many research objects did the author [author name] investigate per year?,2,relationship,True,How many research objects did the author [author name] investigate in his papers per publication year?
45fd4cfa-0734-4805-b703-9108057fe185,Which paper investigates the property robustness?,The paper with the title 'Designing Robust Software Systems through Parametric Markov Chain Synthesis' is the only paper that evaluates the property robustness.,['10.1109/ICSA.2017.16'],,"['(R868433:Property, Name, L1520081:Robustness)']",publication_subgraph_strategy,R868403,Designing Robust Software Systems through Parametric Markov Chain Synthesis,5,Which papers evaluate the sub-property with the name [sub-property name]?,3,basic,True,Which paper investigates the property [property]?
5bb01df5-bdda-4226-9abb-0508dd287db1,Which papers apply the evaluation method Field Experiment?,"The papers that apply the evaluation method Field Experiment are: 1. ACE: Easy Deployment of Field Optimization Experiments, 2. Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements, and 3. An Architecture for Decentralized, Collaborative, and Autonomous Robots.","['10.1007/978-3-030-29983-5_18', '10.1007/978-3-319-65831-5_11', '10.1109/ICSA.2018.00017']",,"['(R869510:Evaluation Method Entity, Name, L1522395:Field Experiment)', '(R869418:Evaluation Method Entity, Name, L1522201:Field Experiment)', '(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)']",clustering_strategy,R659055,Software Architecture and Design,6,Which papers apply the evaluation method with the name [evaluation method name]?,3,aggregation,True,Which papers apply the evaluation method [evaluation method name]?
e241a8f3-84f7-4189-9808-85e606369b6a,How many papers evaluate the property Reliability?,There are five papers that evaluate the property Reliability.,"['10.1007/978-3-030-58923-3_23', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2017.43', '10.1109/ICSA.2019.00013']",,"['(R873759:Property, Name, L1531163:Reliability)', '(R871563:Property, Name, L1526673:Reliability)', '(R871765:Property, Name, L1527091:Reliability)', '(R871130:Property, Name, L1525789:Reliability)', '(R870044:Property, Name, L1523526:Reliability)']",clustering_strategy,R659055,Software Architecture and Design,6,How many papers evaluate the sub-property with the name [sub-property name]?,3,counting,True,How many papers evaluate the property [property name]?
69e09835-46f3-4c0f-a8d4-41534fa28e48,Which papers apply the evaluation method Field Experiment? Rank the papers in descending order of their publication year.,"The papers that apply the evaluation method Field Experiment, ranked in descending order of their publication year, are: 1. ACE: Easy Deployment of Field Optimization Experiments (2019), 2. An Architecture for Decentralized, Collaborative, and Autonomous Robots (2018), and 3. Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements (2017).","['10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017', '10.1007/978-3-030-29983-5_18', '10.1007/978-3-030-29983-5_18', '10.1007/978-3-319-65831-5_11', '10.1007/978-3-319-65831-5_11']",,"['(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)', '(R871523:An Architecture for Decentralized, Collaborative, and Autonomous Robots, publication year, L1526604:2018)', '(R869510:Evaluation Method Entity, Name, L1522395:Field Experiment)', '(R869486:ACE: Easy Deployment of Field Optimization Experiments, publication year, L1522347:2019)', '(R869418:Evaluation Method Entity, Name, L1522201:Field Experiment)', '(R869392:Decision Models for Microservices: Design Areas, Stakeholders, Use Cases, and Requirements, publication year, L1522148:2017)']",clustering_strategy,R659055,Software Architecture and Design,6,Which papers apply the evaluation method with the name [evaluation method name]? Rank the papers in descending order of their publication year.,3,ranking,True,Which papers apply the evaluation method [evaluation method name]? Rank the papers in descending order of their publication year.
37e36398-faeb-463f-9814-24d6adbd029d,"Among papers that apply the evaluation method Data Science, how many have not used input data compared to those that have made their input data available?","There is one paper with the evaluation method Data Science that does not provide input data, and there are two papers with the evaluation method Data Science that make their input data available. Therefore, the comparison shows that there is one paper with no input data and two papers with input data available.","['10.1007/978-3-030-86044-8_6', '10.1007/978-3-030-86044-8_6', '10.1109/ICSA.2018.00018', '10.1109/ICSA.2018.00018', '10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4']",,"['(R873922:Evaluation Method Entity, Name, L1531521:Data Science)', '(R874750:Input Data, None, L1533260:True)', '(R870006:Evaluation Method Entity, Name, L1523455:Data Science)', '(R873928:Input Data, available, L1531527:True)', '(R869128:Evaluation Method Entity, Name, L1521574:Data Science)', '(R869134:Input Data, available, L1521580:True)']",clustering_strategy,R659055,Software Architecture and Design,6,"How many papers that apply the evaluation method with the name [evaluation method name], have not used input data  compared to those that state that their input data is made available?",3,comparative,True,"Among papers that apply the evaluation method [evaluation method name], how many have not used input data compared to those that have made their input data available?"
716d3216-9a3a-4a4b-acaf-1183d4d09575,Which papers investigate the research object Architecture Optimization Method and indicate that no input data was used?,"The papers 'EASIER: An Evolutionary Approach for Multi-objective Software ArchItecturE Refactoring', 'Dynamic Updates of Virtual PLCs Deployed as Kubernetes Microservices', and 'Modeling of Parametric Dependencies for Performance Prediction of Component-Based Software Systems at Run-Time' investigate the research object Architecture Optimization Method and indicate that no input data was used.","['10.1109/ICSA.2018.00020', '10.1109/ICSA.2018.00020', '10.1007/978-3-030-86044-8_1', '10.1007/978-3-030-86044-8_1', '10.1109/ICSA.2018.00023', '10.1109/ICSA.2018.00023']",,"['(R872013:Research Object Entity, Name, L1527594:Architecture Optimization Method)', '(R871337:Input Data, None, L1526229:True)', '(R871335:Research Object Entity, Name, L1526225:Architecture Optimization Method)', '(R872015:Input Data, None, L1527598:True)', '(R872308:Research Object Entity, Name, L1528217:Architecture Optimization Method)', '(R872310:Input Data, None, L1528221:True)']",clustering_strategy,R659055,Software Architecture and Design,5,Which papers investigate the research object [research object name] and indicate that no input data was used in their work?,3,negation,True,Which papers investigate the research object [research object name] and indicate that no input data was used?
33b23515-6a6b-4976-9fd7-1de4bc7db859,What is the paper class that papers are most frequently classified as when they investigate the property Reliability?,The paper class that papers are most frequently classified as when they investigate the property Reliability is Evaluation research.,"['10.1007/978-3-030-58923-3_23', '10.1007/978-3-030-58923-3_23', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00013', '10.1109/ICSA.2019.00013', '10.1109/ICSA.2017.43', '10.1109/ICSA.2017.43', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017']",,"['(R873759:Property, Name, L1531163:Reliability)', '(R873751:Paper Class 2, evaluation research, L1531157:True)', '(R871765:Property, Name, L1527091:Reliability)', '(R871755:Paper Class 2, evaluation research, L1527083:True)', '(R870044:Property, Name, L1523526:Reliability)', '(R870036:Paper Class 2, validation research, L1523515:True)', '(R871130:Property, Name, L1525789:Reliability)', '(R871123:Paper Class 2, proposal of solution, L1525781:True)', '(R871563:Property, Name, L1526673:Reliability)', '(R871552:Paper Class 2, evaluation research, L1526664:True)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the paper class that papers are most frequently classified as when they investigate the sub-property with the name [sub-property name] in their evaluations?,3,superlative,True,What is the paper class that papers are most frequently classified as when they investigate the property [property name]?
1494fc87-34e3-4f7b-ae77-54093e3988b0,How are the papers that investigate the research object Technical Debt distributed by their publication year?,"The distribution of papers that investigate the research object Technical Debt per year is as follows: In 2017, there was one paper. In 2020, there was one paper. In 2021, there was one paper.","['10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-030-58923-3_14', '10.1007/978-3-030-58923-3_14']",,"['(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869104:The Evolution of Technical Debt in the Apache Ecosystem, publication year, L1521523:2017)', '(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872780:Architectural Decay as Predictor of Issue- and Change-Proneness, publication year, L1529184:2021)', '(R872632:Research Object Entity, Name, L1528881:Technical Debt)', '(R872607:Architectural Technical Debt: A Grounded Theory, publication year, L1528844:2020)']",clustering_strategy,R659055,Software Architecture and Design,5,How are the papers that investigate the research object with the name [research object name] distributed by their publication year?,3,relationship,True,How are the papers that investigate the research object [research object name] distributed by their publication year?
24172dfa-095e-4798-803c-4c4ab294b94a,What are the research objects investigated in papers of the paper class philosophical paper?,The research object investigated in papers of the philosophical paper class is Architecture Decision Making.,"['10.1109/ICSA.2018.00021', '10.1109/ICSA.2018.00021']",,"['(R873096:Paper Class 2, philosophical paper, L1529827:True)', '(R873105:Research Object Entity, Name, L1529835:Architecture Decision Making)']",publication_subgraph_strategy,R873077,Architectural Design Decisions for Systems Supporting Model-Based Analysis of Runtime Events: A Qualitative Multi-method Study,4,What are the names of the research objects that are investigated in papers with the paper class [paper class name]?,4,basic,True,What are the research objects investigated in papers of the paper class [paper class]?
82f7245c-2c4e-48d6-add2-3c8865676839,What are the research objects investigated in papers that apply the evaluation method Field Experiment?,"The research objects investigated with the Field Experiment evaluation method are 1. Architecture Optimization Method, 2. Reference Architecture, and 3. Architecture Decision Making.","['10.1007/978-3-030-29983-5_18', '10.1007/978-3-030-29983-5_18', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017', '10.1007/978-3-319-65831-5_11', '10.1007/978-3-319-65831-5_11']",,"['(R869510:Evaluation Method Entity, Name, L1522395:Field Experiment)', '(R869514:Research Object Entity, Name, L1522399:Architecture Optimization Method)', '(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)', '(R871571:Research Object Entity, Name, L1526680:Reference Architecture)', '(R869418:Evaluation Method Entity, Name, L1522201:Field Experiment)', '(R869424:Research Object Entity, Name, L1522207:Architecture Decision Making)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the research objects that are investigated in papers that apply the evaluation method [evaluation method name]?,4,aggregation,True,What are the research objects investigated in papers that apply the evaluation method [evaluation method name]?
2f9e9f18-07a3-49f0-bbe2-85ed8c71e686,How many different evaluation methods are used to evaluate the property Freedom from Risk?,There are two evaluation methods used to evaluate the Freedom from Risk property.,"['10.1109/ICSA.2018.00016', '10.1109/ICSA.2018.00016', '10.1109/ICSA51549.2021.00010', '10.1109/ICSA51549.2021.00010']",,"['(R872679:Property, Name, L1528970:Freedom from Risk)', '(R872673:Evaluation Method Entity, Name, L1528964:Technical Experiment)', '(R874246:Property, Name, L1532194:Freedom from Risk)', '(R874243:Evaluation Method Entity, Name, L1532191:Focus Group)']",clustering_strategy,R659055,Software Architecture and Design,6,How many evaluation methods are used in conjunction with the sub-property with the name [sub-property name]?,4,counting,True,How many different evaluation methods are used to evaluate the property [property name]?
0d8b410e-9d65-4281-acbc-bba767c1582b,"Among those papers that evaluate the property Reliability, what are the evaluation methods that have been applied? Rank the evaluation methods in descending alphabetical order.","Among those papers that evaluate the property Reliability, the evaluation methods that have been applied, ranked in descending alphabetical order, are: Technical Experiment, Field Experiment, Case Study, and Argumentation.","['10.1007/978-3-030-58923-3_23', '10.1007/978-3-030-58923-3_23', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2018.00017', '10.1109/ICSA.2019.00013', '10.1109/ICSA.2019.00013', '10.1109/ICSA.2017.43', '10.1109/ICSA.2017.43', '10.1109/ICSA.2019.00019', '10.1109/ICSA.2019.00019']",,"['(R873759:Property, Name, L1531163:Reliability)', '(R873756:Evaluation Method Entity, Name, L1531160:Technical Experiment)', '(R871563:Property, Name, L1526673:Reliability)', '(R871557:Evaluation Method Entity, Name, L1526667:Field Experiment)', '(R870044:Property, Name, L1523526:Reliability)', '(R870041:Evaluation Method Entity, Name, L1523523:Technical Experiment)', '(R871130:Property, Name, L1525789:Reliability)', '(R871128:Evaluation Method Entity, Name, L1525787:Case Study)', '(R871765:Property, Name, L1527091:Reliability)', '(R871760:Evaluation Method Entity, Name, L1527086:Argumentation)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation methods that are used in conjunction with the evaluation sub-property [sub-property name]? Rank the methods in descending alphabetical order.,4,ranking,True,"Among those papers that evaluate the property [property name], what are the evaluation methods that have been applied? Rank the evaluation methods in descending alphabetical order."
b54fb478-0c65-46ed-8c32-a495b1e5b6cc,How frequently is the property Satisfaction evaluated compared to the property Context Coverage in papers that investigate the research object Architecture Evolution?,"The frequency with which the property Satisfaction is evaluated compared to the property Context Coverage in papers that investigate the research object Architecture Evolution is as follows: Satisfaction is evaluated three times, whereas Context Coverage is evaluated only once.","['10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA51549.2021.00014', '10.1109/ICSA.2018.00012', '10.1109/ICSA.2018.00012', '10.1109/ICSA.2019.00024', '10.1109/ICSA.2019.00024']",,"['(R874382:Research Object Entity, Name, L1532476:Architecture Evolution)', '(R874372:Property, Name, L1532467:Satisfaction)', '(R874380:Property, Name, L1532474:Context coverage)', '(R871023:Research Object Entity, Name, L1525570:Architecture Evolution)', '(R871021:Property, Name, L1525568:Satisfaction)', '(R873637:Research Object Entity, Name, L1530905:Architecture Evolution)', '(R873633:Property, Name, L1530901:Satisfaction)']",clustering_strategy,R659055,Software Architecture and Design,6,How frequently is the sub-property with the name [sub-property name] used compared to the sub-property with the name [sub-property name] in research that investigates the research object with the name [research object name]?,4,comparative,True,How frequently is the property [property 1] evaluated compared to the property [property 2] in papers that investigate the research object [research object name]?
9e3c5460-0e14-4afc-884b-7d587a27d540,What are the properties that are evaluated in papers that investigate the research object Technical Debt without adhering to an evaluation guideline?,The properties that are evaluated in papers that investigate the research object Technical Debt without adhering to an evaluation guideline are Accuracy and Maintainability.,"['10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-319-65831-5_4']",,"['(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872802:Evaluation, Has Guideline, L1529235:False)', '(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869126:Evaluation, Has Guideline, L1521575:False)', '(R872806:Property, Name, L1529236:Accuracy)', '(R869130:Property, Name, L1521576:Maintainability)']",clustering_strategy,R659055,Software Architecture and Design,6,What are the names of the evaluation sub-properties that are assessed in research papers that investigate the research object with the name [research object name] without adhering to evaluation guidelines?,4,negation,True,What are the properties that are evaluated in papers that investigate the research object [research object name] without adhering to an evaluation guideline?
1dd32084-dbc1-46d8-bc7a-74d6108c765f,What is the evaluation method that has been applied the most in papers that investigate the research object Technical Debt?,The evaluation method that has been applied most frequently in papers investigating Technical Debt is case study.,"['10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017', '10.1007/978-3-030-58923-3_14', '10.1007/978-3-030-58923-3_14']",,"['(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869128:Evaluation Method Entity, Name, L1521574:Data Science)', '(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872804:Evaluation Method Entity, Name, L1529234:Data Science)', '(R872632:Research Object Entity, Name, L1528881:Technical Debt)', '(R872627:Evaluation Method Entity, Name, L1528876:Grounded Theory)']",clustering_strategy,R659055,Software Architecture and Design,6,What is the name of the evaluation method that has been used the most in papers that investigate the research object with the name [research object name]?,4,superlative,True,What is the evaluation method that has been applied the most in papers that investigate the research object [research object name]?
25e23886-0754-4387-8b4e-2a56a5d5f19a,How frequently is the research object Technical Debt investigated per publication year?,"The frequency with which the research object Technical Debt is investigated per publication year is as follows: it was investigated once in 2017, once in 2020, and once in 2021.","['10.1007/978-3-030-58923-3_14', '10.1007/978-3-030-58923-3_14', '10.1007/978-3-319-65831-5_4', '10.1007/978-3-319-65831-5_4', '10.1109/ICSA51549.2021.00017', '10.1109/ICSA51549.2021.00017']",,"['(R872808:Research Object Entity, Name, L1529238:Technical Debt)', '(R872607:Architectural Technical Debt: A Grounded Theory, publication year, L1528844:2020)', '(R869132:Research Object Entity, Name, L1521578:Technical Debt)', '(R869104:The Evolution of Technical Debt in the Apache Ecosystem, publication year, L1521523:2017)', '(R872632:Research Object Entity, Name, L1528881:Technical Debt)', '(R872780:Architectural Decay as Predictor of Issue- and Change-Proneness, publication year, L1529184:2021)']",clustering_strategy,R659055,Software Architecture and Design,5,How frequently per year is the research object with the name [research object name] investigated?,4,relationship,True,How frequently is the research object [research object name] investigated per publication year?
997f2c00-4d34-4801-81f6-aa3b52186e51,What is the property that is evaluated for the research object Architecture Design Method in the paper with the title 'Enabling Continuous Software Engineering for Embedded Systems Architectures with Virtual Prototypes'?,The property investigated on the research object Architecture Design Method in the paper 'Enabling Continuous Software Engineering for Embedded Systems Architectures with Virtual Prototypes' is Functional Suitability.,['10.1007/978-3-030-00761-4_8'],,"['(R870624:Property, Name, L1524745:Functional Suitability)']",publication_subgraph_strategy,R659055,Software Architecture and Design,6,What is the name of the sub-property that is evaluated for the research object with the name [research object name] in the paper with the title '[paper title]'?,5,basic,True,What is the property that is evaluated for the research object [research object name] in the paper with the title '[paper title]'?
